,org_id,endpoint_id,status,current,date_time,Churn_status
81052,160090,60426446,3,1,2017-12-02,Churned
5676,160090,60426447,3,1,2017-12-02,Churned
1518,160090,60428559,3,1,2017-12-02,Churned
5065,160090,60495311,3,1,2017-12-02,Churned
6843,160090,60495313,3,1,2017-12-02,Churned
51307,160090,60495433,3,1,2018-07-16,Churned
5066,160090,60510289,3,1,2017-12-02,Churned
3877,160090,60535987,3,1,2017-12-02,Churned
20784,160090,60543506,4,0,2018-04-17,Not Churned
318,160090,60543524,3,1,2017-12-02,Churned
5067,160090,60561059,3,1,2017-12-02,Churned
5068,160090,60565088,3,1,2017-12-02,Churned
13804,160090,60618866,3,1,2017-12-02,Churned
66107,160090,60627503,3,1,2018-07-02,Churned
10017,160090,60627776,3,1,2017-12-02,Churned
16906,160090,60627929,4,0,2018-04-23,Not Churned
5677,160090,60630605,3,1,2017-12-02,Churned
2667,160090,60635021,3,1,2017-12-02,Churned
5069,160090,60637534,3,1,2017-12-02,Churned
476,160090,60637535,3,1,2017-12-02,Churned
13806,160090,60637538,3,1,2017-12-02,Churned
10018,160090,60637540,3,1,2017-12-02,Churned
4759,160090,60637542,3,1,2017-12-02,Churned
2668,160090,60637544,3,1,2017-12-02,Churned
16367,160090,60637545,3,1,2018-05-30,Churned
10341,160090,60637548,3,1,2018-01-25,Churned
36606,160090,60637549,3,1,2018-06-22,Churned
319,160090,60637552,3,1,2017-12-02,Churned
10019,160090,60637553,3,1,2017-12-02,Churned
21031,160090,60637554,3,1,2018-05-29,Churned
5678,160090,60637560,3,1,2017-12-02,Churned
8182,160090,60637563,3,1,2017-12-02,Churned
320,160090,60637564,3,1,2017-12-02,Churned
11258,160090,60637565,4,0,2018-02-13,Not Churned
7515,160090,60637566,4,0,2017-12-21,Not Churned
1519,160090,60637569,3,1,2017-12-02,Churned
8183,160090,60637570,3,1,2017-12-02,Churned
17497,160090,60637571,3,1,2018-05-10,Churned
4761,160090,60637573,3,1,2017-12-02,Churned
20593,160090,60637574,3,1,2018-05-24,Churned
10488,160090,60637575,3,1,2017-12-02,Churned
10489,160090,60637579,3,1,2017-12-02,Churned
8784,160090,60637580,3,1,2017-12-02,Churned
35548,160090,60637581,4,0,2018-06-07,Not Churned
